nom_loc_ori;idCalle;calle_ori;idBarrio;barrio_ori;manzana_ori;nom_prov;Calle_origen;Localidad_ori
Machagai;;Junin;;;;Chaco;Junin;Machagai
Rio Grande;;Kekombosch;;;;Tierra del Fuego;Kekombosch;Rio Grande
Mar Del Plata;;La Rioja;;;;Buenos Aires;La Rioja;Mar Del Plata
San Francisco;;Lamadrid;;;;Códoba;Lamadrid;San Francisco
Parana;;Laprida;;;;Entre Ríos;Laprida;Parana
San Francisco;;Larrea;;;;Códoba;Larrea;San Francisco
Victoria;;Larrea;;;;Entre Ríos;Larrea;Victoria
San Francisco;;Las Acacias;;;;Códoba;Las Acacias;San Francisco
Morteros;;Las Heras;;;;Códoba;Las Heras;Morteros
San Luis;;Las Heras;;;;San Luis;Las Heras;San Luis
Villa Giardino;;Las Tunas;;;;Códoba;Las Tunas;Villa Giardino
Arribe;;Lavalle;;;;Buenos Aires;Lavalle;Arribe
Santa Sylvina;;Leandro N/Alem;;;;Chaco;Leandro N/Alem;Santa Sylvina
Colonia Vignaud;;Libertad;;;;Códoba;Libertad;Colonia Vignaud
San Francisco;;Libertad;;;;Códoba;Libertad;San Francisco
Santa Regina;;Libertad;;;;Buenos Aires;Libertad;Santa Regina
San Francisco;;Lima;;;;Códoba;Lima;San Francisco
Oran;;Lopez Y Planes;;;;Salta;Lopez Y Planes;Oran
San Francisco;;Los Alamos;;;;Códoba;Los Alamos;San Francisco
San Francisco;;Los Álamos 2758;;;;Códoba;Los Alamos 2758;San Francisco
San Francisco;;Los Andes;;;;Códoba;Los Andes;San Francisco
San Nicolas De Los Arroyos;;Los Aromos;;;;Buenos Aires;Los Aromos;San Nicolas De Los Arroyos
San Francisco;;Los Manzanos;;;;Códoba;Los Manzanos;San Francisco
Cruz Alta;;Luis Reybet;;;;Códoba;Luis Reybet;Cruz Alta
Corral De Bustos;;M. Dorrego;;;;Códoba;M. Dorrego;Corral De Bustos
Morteros;;Madre Teresa De Calcuta 330;;;;Códoba;Madre Teresa De Calcuta 330;Morteros
Morteros;;Maipu;;;;Códoba;Maipu;Morteros
Tristan Suarez;;Marcos Juárez;;;;Buenos Aires;Marcos Juarez;Tristan Suarez
Rincon De Milberg;;Marcos Sastre;;;;Buenos Aires;Marcos Sastre;Rincon De Milberg
Morteros;;Mariano Moreno;;;;Códoba;Mariano Moreno;Morteros
San Francisco;;Mariano Moreno;;;;Códoba;Mariano Moreno;San Francisco
Cruz Alta;;Matheu;;;;Códoba;Matheu;Cruz Alta
Pablo Nogues;;Maure;;;;Buenos Aires;Maure;Pablo Nogues
San Nicolas De Los Arroyos;;Mendoza;;;;Buenos Aires;Mendoza;San Nicolas De Los Arroyos
San Francisco;;Mexico;;;;Códoba;Mexico;San Francisco
Crespo;;Mitre;;;;Entre Ríos;Mitre;Crespo
Parana;;Moisés Lebenhson;;;;Entre Ríos;Moises Lebenhson;Parana
San Nicolas De Los Arroyos;;Mozart;;;;Buenos Aires;Mozart;San Nicolas De Los Arroyos
Los Nogales;;Mz19 Casa 13;;;;Tucumán;Mz19 Casa 13;Los Nogales
San Nicolas De Los Arroyos;;Nacion;;;;Buenos Aires;Nacion;San Nicolas De Los Arroyos
Aldea Brasilera;;Nicolás Avellaneda;;;;Entre Ríos;Nicolas Avellaneda;Aldea Brasilera
San Nicolas De Los Arroyos;;Obligado;;;;Buenos Aires;Obligado;San Nicolas De Los Arroyos
San Nicolas De Los Arroyos;;Olleros;;;;Buenos Aires;Olleros;San Nicolas De Los Arroyos
Parana;;Ovidio Lagos;;;;Entre Ríos;Ovidio Lagos;Parana
Neuquen;;Padre Stefenelli;;;;Neuquén;Padre Stefenelli;Neuquen
Parana;;Pampa;;;;Entre Ríos;Pampa;Parana
El Palomar;;Paracaidista Roca;;;;Buenos Aires;Paracaidista Roca;El Palomar
San Francisco;;Paraguay Sur;;;;Códoba;Paraguay Sur;San Francisco
San Francisco;;Pasaje Cangallo;;;;Códoba;Pasaje Cangallo;San Francisco
San Nicolas De Los Arroyos;;Pasaje Gorbaran;;;;Buenos Aires;Pasaje Gorbaran;San Nicolas De Los Arroyos
Cordoba;;Pasaje Juan Seru;;;;Códoba;Pasaje Juan Seru;Cordoba
San Francisco;;Pasaje Laprida;;;;Códoba;Pasaje Laprida;San Francisco
Huerta Grande;;Pedro Capdevila;;;;Códoba;Pedro Capdevila;Huerta Grande
Parana;;Pedro Scalabrini;;;;Entre Ríos;Pedro Scalabrini;Parana
Parana;;Pedro Zanni;;;;Entre Ríos;Pedro Zanni;Parana
Parana;;Pellegrini;;;;Entre Ríos;Pellegrini;Parana
San Francisco;;Perú;;;;Códoba;Peru;San Francisco
Bialet Masse;;Piedra Blanca 1572;;;;Códoba;Piedra Blanca 1572;Bialet Masse
Basail;;Planta Urbana;;;;Chaco;Planta Urbana;Basail
Villa Rio Bermejito;;Planta Urbana;;;;Chaco;Planta Urbana;Villa Rio Bermejito
San Nicolas De Los Arroyos;;Pombo;;;;Buenos Aires;Pombo;San Nicolas De Los Arroyos
San Francisco;;Primeros Colonizadores;;;;Códoba;Primeros Colonizadores;San Francisco
Carpinteria;;Pringles;;;;San Luis;Pringles;Carpinteria
San Francisco;;Pueyrredón;;;;Códoba;Pueyrredon;San Francisco
San Francisco;;Ramon Y Cajal;;;;Códoba;Ramon Y Cajal;San Francisco
Resistencia;;Republica Dominicana;;;;Chaco;Republica Dominicana;Resistencia
Monte Hermoso;;Río Juramento;;;;Buenos Aires;Rio Juramento;Monte Hermoso
Cruz Alta;;Rioja;;;;Códoba;Rioja;Cruz Alta
San Francisco;;Rioja;;;;Códoba;Rioja;San Francisco
